::1 - - [28/Mar/2023:20:19:51 +0000] "GET / HTTP/1.1" 200 33 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
::1 - - [28/Mar/2023:20:19:58 +0000] "GET /unknown HTTP/1.1" 404 21 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [28/Mar/2023:21:18:25 +0000] "POST /v1/auth/register HTTP/1.1" 400 1547 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:18:25 +0000] "POST /v1/auth/register HTTP/1.1" 400 1551 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:18:25 +0000] "POST /v1/auth/register HTTP/1.1" 400 1551 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:23:50 +0000] "POST /v1/auth/login HTTP/1.1" 200 311 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:23:50 +0000] "POST /v1/auth/login HTTP/1.1" 404 499 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:23:50 +0000] "POST /v1/auth/login HTTP/1.1" 400 7541 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:23:50 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:23:50 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:23:50 +0000] "POST /v1/auth/register HTTP/1.1" 400 530 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:23:50 +0000] "POST /v1/auth/login HTTP/1.1" 200 311 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:23:50 +0000] "GET /v1/users HTTP/1.1" 200 186 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:23:50 +0000] "POST /v1/auth/login HTTP/1.1" 200 311 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:23:50 +0000] "GET /v1/users/7 HTTP/1.1" 200 180 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:32:08 +0000] "POST /v1/auth/login HTTP/1.1" 200 311 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:32:08 +0000] "POST /v1/auth/login HTTP/1.1" 404 499 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:32:08 +0000] "POST /v1/auth/login HTTP/1.1" 400 7541 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:32:08 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:32:08 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:32:08 +0000] "POST /v1/auth/register HTTP/1.1" 400 530 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:32:08 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:32:08 +0000] "GET /v1/users HTTP/1.1" 200 187 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:32:08 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:32:09 +0000] "GET /v1/users/14 HTTP/1.1" 200 181 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:35:17 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:35:17 +0000] "POST /v1/auth/login HTTP/1.1" 404 499 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:35:17 +0000] "POST /v1/auth/login HTTP/1.1" 400 7541 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:35:17 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:35:17 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:35:17 +0000] "POST /v1/auth/register HTTP/1.1" 400 530 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:35:17 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:35:17 +0000] "GET /v1/users HTTP/1.1" 200 187 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:35:17 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:35:17 +0000] "GET /v1/users/21 HTTP/1.1" 200 181 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:37:38 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:37:38 +0000] "POST /v1/auth/login HTTP/1.1" 404 499 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:37:38 +0000] "POST /v1/auth/login HTTP/1.1" 400 7541 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:37:38 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:37:38 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:37:38 +0000] "POST /v1/auth/register HTTP/1.1" 400 530 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:37:38 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:37:38 +0000] "GET /v1/users HTTP/1.1" 200 187 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:37:38 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:37:38 +0000] "GET /v1/users/28 HTTP/1.1" 200 181 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:38:08 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:38:08 +0000] "POST /v1/auth/login HTTP/1.1" 404 499 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:38:08 +0000] "POST /v1/auth/login HTTP/1.1" 400 7541 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:38:08 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:38:08 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:38:08 +0000] "POST /v1/auth/register HTTP/1.1" 400 530 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:38:08 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:38:08 +0000] "GET /v1/users HTTP/1.1" 200 187 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:38:08 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:38:08 +0000] "GET /v1/users/35 HTTP/1.1" 200 181 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:40:23 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:40:23 +0000] "POST /v1/auth/login HTTP/1.1" 404 499 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:40:24 +0000] "POST /v1/auth/login HTTP/1.1" 400 7541 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:40:30 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:40:30 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:40:30 +0000] "POST /v1/auth/register HTTP/1.1" 400 530 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:40:30 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
